Front,Back
"What command verifies Docker installation?","docker version"
"What command runs a container?","docker run <image>"
"What command runs a container in detached mode?","docker run -d <image>"
"What command runs a container in interactive mode?","docker run -it <image>"
"What command runs a named container?","docker run --name <name> <image>"
"What command runs a container with port mapping?","docker run -p <host>:tainer> <image>"
"What command runs a container with volume mapping?","docker run -v <host>:tainer> <image>"
"What command runs a container with an environment variable?","docker run -e KEY=VALUE <image>"
"What command lists running containers?","docker ps"
"What command lists all containers (including stopped)?","docker ps -a"
"What command stops a container?","docker stop tainer>"
"What command starts a stopped container?","docker start tainer>"
"What command removes a container?","docker rm tainer>"
"What command executes a command in a running container?","docker exec tainer> mmand>"
"What command opens an interactive bash shell in a container?","docker exec -it tainer> bash"
"What command views container logs?","docker logs tainer>"
"What command inspects a container's detailed information?","docker inspect tainer>"
"What command attaches to a running container?","docker attach tainer>"
"What command lists all Docker images?","docker images"
"What command pulls an image with a specific tag?","docker pull <image>:<tag>"
"What command builds an image from current directory?","docker build -t <name>:<tag> ."
"What command builds an image with a specific Dockerfile?","docker build -t <name> -f <dockerfile> ."
"What command tags a Docker image?","docker tag <source> <target>"
"What command pushes an image to a registry?","docker push <image>:<tag>"
"What command removes a Docker image?","docker rmi <image>"
"What command views the history of an image?","docker history <image>"
"What command removes unused Docker images?","docker image prune"
"What command lists all Docker networks?","docker network ls"
"What command creates a Docker network?","docker network create <name>"
"What command creates a bridge network with a specific subnet?","docker network create --driver bridge --subnet 182.18.0.0/16 <name>"
"What command inspects a Docker network?","docker network inspect <network>"
"What command connects a container to a network?","docker network connect <network> tainer>"
"What command disconnects a container from a network?","docker network disconnect <network> tainer>"
"What command creates a Docker volume?","docker volume create <name>"
"What command lists all Docker volumes?","docker volume ls"
"What command inspects a Docker volume?","docker volume inspect <volume>"
"What command removes a Docker volume?","docker volume rm <volume>"
"What command removes unused Docker volumes?","docker volume prune"
"What command starts Docker Compose services?","docker-compose up"
"What command starts Docker Compose services in detached mode?","docker-compose up -d"
"What command stops Docker Compose services?","docker-compose down"
"What command lists Docker Compose services?","docker-compose ps"
"What command views logs of all Docker Compose services?","docker-compose logs"
"What command views logs of a specific Docker Compose service?","docker-compose logs <service>"
"What command scales a Docker Compose service?","docker-compose scale <service>=unt>"
"What command builds Docker Compose images?","docker-compose build"
"What command initializes a Docker Swarm?","docker swarm init --advertise-addr <ip>"
"What command joins a swarm as a worker?","docker swarm join --token <token> <manager-ip>:2377"
"What command lists all Docker Swarm nodes?","docker node ls"
"What command creates a Docker service with replicas?","docker service create --name <name> --replicas unt> <image>"
"What command lists all Docker services?","docker service ls"
"What command lists tasks of a specific service?","docker service ps <service>"
"What command scales a Docker service?","docker service scale <service>=unt>"
"What command updates a Docker service with a new image?","docker service update --image <image>:<tag> <service>"
"What command removes a Docker service?","docker service rm <service>"
"What command views Docker system information?","docker info"
"What command views Docker disk usage?","docker system df"
"What command removes all unused Docker objects?","docker system prune"
"What command views resource usage statistics of containers?","docker stats"
"What command views Docker events in real-time?","docker events"
